"TIME","K.kg/m^3"
2021-02-09 23:38:00,0.117382
2021-02-10 00:38:00,0.117068
2021-02-10 01:38:00,0.117287
2021-02-10 02:38:00,0.117301
2021-02-10 03:38:00,0.117461
2021-02-10 04:38:00,0.117227
2021-02-10 05:38:00,0.11723
2021-02-10 06:38:00,0.11742
2021-02-10 07:38:00,0.116846
2021-02-10 08:38:00,0.117089
2021-02-10 09:38:00,0.117167
2021-02-10 10:38:00,0.11683
2021-02-10 11:38:00,0.116299
2021-02-10 12:38:00,0.115853
2021-02-10 13:38:00,0.115663
2021-02-10 14:38:00,0.115475
2021-02-10 16:09:00,0.113067
2021-02-10 17:09:00,0.114071
2021-02-10 18:09:00,0.114694
2021-02-10 19:09:00,0.115168
2021-02-10 20:09:00,0.115648
2021-02-10 21:09:00,0.115754
2021-02-10 22:09:00,0.116058
2021-02-10 23:09:00,0.116556
2021-02-11 00:09:00,0.116405
2021-02-11 01:09:00,0.1168
2021-02-11 02:09:00,0.116742
2021-02-11 03:09:00,0.116725
2021-02-11 04:09:00,0.11666
2021-02-11 05:09:00,0.116905
2021-02-11 06:09:00,0.117263
2021-02-11 07:09:00,0.11677
2021-02-11 08:09:00,0.116783
2021-02-11 09:09:00,0.115267
2021-02-11 10:09:00,0.114919
2021-02-11 11:09:00,0.114605
2021-02-11 12:09:00,0.11385
2021-02-11 13:09:00,0.112995
2021-02-11 14:09:00,0.112396
2021-02-11 15:09:00,0.112627
2021-02-11 16:09:00,0.113198
2021-02-11 17:09:00,0.114308
2021-02-11 18:09:00,0.115176
2021-02-11 19:09:00,0.116017
2021-02-11 20:09:00,0.116347
2021-02-11 21:09:00,0.116753
2021-02-11 22:09:00,0.117194
2021-02-11 23:09:00,0.11724
2021-02-12 00:09:00,0.117698
2021-02-12 01:09:00,0.117923
2021-02-12 02:09:00,0.118065
2021-02-12 03:09:00,0.118146
2021-02-12 04:09:00,0.118153
2021-02-12 05:09:00,0.118104
2021-02-12 06:09:00,0.118363
2021-02-12 07:09:00,0.118459
2021-02-12 08:09:00,0.118435
2021-02-12 09:09:00,0.117553
2021-02-12 10:09:00,0.117416
2021-02-12 11:09:00,0.116982
2021-02-12 12:09:00,0.116177
2021-02-12 13:09:00,0.11572
2021-02-12 14:09:00,0.11529
2021-02-12 15:09:00,0.115295
2021-02-12 16:09:00,0.115465
2021-02-12 17:09:00,0.115632
2021-02-12 18:09:00,0.116119
2021-02-12 19:09:00,0.116179
2021-02-12 20:09:00,0.116422
2021-02-12 21:09:00,0.116461
2021-02-12 22:09:00,0.116691
2021-02-12 23:09:00,0.116719
2021-02-13 00:09:00,0.116538
2021-02-13 01:09:00,0.116693
2021-02-13 02:09:00,0.117002
2021-02-13 03:09:00,0.117451
2021-02-13 04:09:00,0.117744
2021-02-13 05:09:00,0.117953
2021-02-13 06:09:00,0.11802
2021-02-13 07:09:00,0.118396
2021-02-13 08:09:00,0.1187
2021-02-13 09:09:00,0.119305
2021-02-13 10:09:00,0.119479
2021-02-13 11:09:00,0.119306
2021-02-13 12:09:00,0.119172
2021-02-13 13:09:00,0.118663
2021-02-13 14:09:00,0.117867
2021-02-13 15:09:00,0.117311
2021-02-13 16:09:00,0.117515
2021-02-13 17:09:00,0.118062
2021-02-13 18:09:00,0.118943
2021-02-13 19:09:00,0.11956
2021-02-13 20:09:00,0.11986
2021-02-13 21:09:00,0.120036
2021-02-13 22:09:00,0.119953
2021-02-13 23:09:00,0.119809
2021-02-14 00:09:00,0.120111
2021-02-14 01:09:00,0.120257
2021-02-14 02:09:00,0.120028
2021-02-14 03:09:00,0.12001
2021-02-14 04:09:00,0.120036
2021-02-14 05:09:00,0.120018
2021-02-14 06:09:00,0.120187
2021-02-14 07:09:00,0.119748
2021-02-14 08:09:00,0.119786
2021-02-14 09:09:00,0.119873
2021-02-14 10:09:00,0.119236
2021-02-14 11:09:00,0.118684
2021-02-14 12:09:00,0.11805
2021-02-14 13:09:00,0.117202
2021-02-14 14:09:00,0.116703
2021-02-14 15:09:00,0.116374
2021-02-14 16:09:00,0.116686
2021-02-14 17:09:00,0.117283
2021-02-14 18:09:00,0.117768
2021-02-14 19:09:00,0.118135
2021-02-14 20:09:00,0.118395
2021-02-14 21:09:00,0.118661
2021-02-14 22:09:00,0.11868
2021-02-14 23:09:00,0.118951
2021-02-15 00:09:00,0.11889
2021-02-15 01:09:00,0.119044
2021-02-15 02:09:00,0.119204
2021-02-15 03:09:00,0.119289
2021-02-15 04:09:00,0.119166
2021-02-15 05:09:00,0.119291
