"TIME","Oxy.kg/m^3"
2020-12-25 20:03:00,0.00437
2020-12-25 21:03:00,0.00463
2020-12-25 22:03:00,0.00484
2020-12-25 23:03:00,0.00509
2020-12-26 00:03:00,0.00539
2020-12-26 01:03:00,0.00551
2020-12-26 02:03:00,0.00572
2020-12-26 03:03:00,0.00591
2020-12-26 04:03:00,0.00616
2020-12-26 05:03:00,0.00609
2020-12-26 06:03:00,0.0062
2020-12-26 07:03:00,0.00633
2020-12-26 08:03:00,0.00629
2020-12-26 09:03:00,0.00637
2020-12-26 10:03:00,0.00556
2020-12-26 11:03:00,0.00506
2020-12-26 12:03:00,0.00497
2020-12-26 13:03:00,0.00514
2020-12-26 14:03:00,0.00499
2020-12-26 15:03:00,0.00521
2020-12-26 16:03:00,0.00561
2020-12-26 17:03:00,0.00534
2020-12-26 18:03:00,0.00526
