"TIME","Amm.kg/m^3"
2020-08-25 07:28:00,0.00100716
2020-08-25 08:28:00,0.000796944
2020-08-25 09:28:00,0.000593494
2020-08-25 10:28:00,0.000682459
2020-08-25 11:28:00,0.000787391
2020-08-25 12:28:00,0.000853936
2020-08-25 13:28:00,0.0011531
2020-08-25 14:28:00,0.00131296
2020-08-25 15:28:00,0.0014504
2020-08-25 16:28:00,0.00215067
2020-08-25 17:28:00,0.0026171
2020-08-25 18:28:00,0.0028219
2020-08-25 19:28:00,0.00296165
2020-08-25 20:28:00,0.00300442
2020-08-25 21:28:00,0.00305394
2020-08-25 22:28:00,0.0030884
2020-08-25 23:28:00,0.00319298
2020-08-26 00:28:00,0.00317552
2020-08-26 01:28:00,0.00313947
2020-08-26 02:28:00,0.00309625
2020-08-26 03:28:00,0.00297986
2020-08-26 04:28:00,0.00285707
2020-08-26 05:28:00,0.00274389
2020-08-26 06:28:00,0.00250908
2020-08-26 07:28:00,0.00260402
2020-08-26 08:28:00,0.00230026
2020-08-26 09:28:00,0.00241214
2020-08-26 10:28:00,0.00204052
2020-08-26 11:28:00,0.00193765
2020-08-26 13:41:00,0.0023472
2020-08-26 14:41:00,0.00263606
2020-08-26 15:41:00,0.00247759
2020-08-26 16:41:00,0.0031448
2020-08-26 17:41:00,0.00351964
2020-08-26 18:41:00,0.00345612
2020-08-26 19:41:00,0.00359774
2020-08-26 20:41:00,0.00361279
2020-08-26 21:41:00,0.0035459
2020-08-26 22:41:00,0.0036904
2020-08-26 23:41:00,0.0036378
2020-08-27 00:41:00,0.00358129
2020-08-27 01:41:00,0.00350064
2020-08-27 02:41:00,0.00348452
2020-08-27 03:41:00,0.00323654
2020-08-27 04:41:00,0.00307186
2020-08-27 05:41:00,0.00302909
2020-08-27 06:41:00,0.00310188
2020-08-27 07:41:00,0.00274339
2020-08-27 08:41:00,0.00260451
2020-08-27 09:41:00,1.19578
2020-08-27 10:41:00,1.21525
2020-08-27 11:41:00,1.23436
2020-08-27 12:41:00,1.26598
2020-08-27 13:41:00,1.29571
2020-08-27 14:41:00,1.32964
2020-08-27 15:41:00,1.35067
2020-08-27 16:41:00,1.36794
2020-08-27 17:41:00,1.36941
2020-08-27 18:41:00,1.36822
2020-08-27 19:41:00,1.36208
